org_id,samp_id,samp_datetime,org_url,org_media_url,org_media_type,org_attached_links,org_text,org_hashtags,org_user_metions,user_id,user_name,user_screen_name,user_verified,user_profile_image_url,user_profile_banner_url,user_profile_background_image_url,user_followers_count,user_friends_count,org_favorite_count,org_quote_count,org_reply_count,org_retweet_count,org_datetime
1389645389637238796,1455699499515584512,2021-11-03T00:53:00.000-07:00,"","","","","#2. Don't Hire the First Advisor You Meet. Working with a financial advisor is a crucial component of any retirement plan, so most people follow these 7 secrets when hiring one.","","",353838102,SmartAsset,smartasset,true,http://pbs.twimg.com/profile_images/1101592165807984640/YBF7NqKq_normal.png,https://pbs.twimg.com/profile_banners/353838102/1551717383,http://abs.twimg.com/images/themes/theme14/bg.gif,34581,1401,10067,223,1284,1911,2021-05-04T18:17:33.000-07:00
1443721077683851267,1455692772715941888,2021-11-03T00:26:17.000-07:00,https://twitter.com/LAPartyStripper/status/1443721077683851267/photo/1,['http://pbs.twimg.com/media/FAkgq40WEAAQfmg.jpg'],['photo'],['http://SoCalStrippers.com'],"We travel to your location,  Serving all of LA / OC .|We are a female owned &amp; operated stripper company.|* Always selectively hiring  *|https://t.co/0ugu9jUYFj   (310)594-3306 |#LosAngeles #OrangeCounty #Ventura  #Strippers #LosAngelesStrippers #LAStrippers #OCStrippers https://t.co/NInD1NFi0c","['LosAngeles', 'OrangeCounty', 'Ventura', 'Strippers', 'LosAngelesStrippers', 'LAStrippers', 'OCStrippers']","",93523752,LosAngeles Strippers,LAPartyStripper,false,http://pbs.twimg.com/profile_images/1351687054237655042/ExGUoXR3_normal.jpg,https://pbs.twimg.com/profile_banners/93523752/1501708049,http://abs.twimg.com/images/themes/theme11/bg.gif,4477,3860,71,0,2,17,2021-09-30T23:35:02.000-07:00
1446135881908187142,1455687611448766467,2021-11-03T00:05:46.000-07:00,https://twitter.com/InfinityWard/status/1446135881908187142,"","",['https://careers.infinityward.com/'],"Infinity Ward is expanding.  Excited to announce the creation of @InfinityWard Austin. ||This new development team based in Austin, TX, joins our teams in LA, Poland and Mexico. We're hiring for all positions (https://t.co/WZ0Z1DHKCw).  More info to come.","",['InfinityWard'],18742444,Infinity Ward,InfinityWard,true,http://pbs.twimg.com/profile_images/1134142581061775360/yd8kqZMD_normal.png,https://pbs.twimg.com/profile_banners/18742444/1583789181,http://abs.twimg.com/images/themes/theme14/bg.gif,2915646,22,2592,56,242,239,2021-10-07T15:30:36.000-07:00
1450571104771260416,1455671937825443845,2021-11-02T23:03:29.000-07:00,https://twitter.com/mel__shan/status/1450571104771260416,"","","['https://lnkd.in/dG72vUzE', 'https://lnkd.in/dtN6KtgJ', 'https://lnkd.in/dafq4rGH', 'https://lnkd.in/dqN8CdRW']",Currently #hiring for the following roles:||Network Engineer:|https://t.co/LK0xMywGaR||Talent Acquisition Assistant:|https://t.co/vFKeRPnNcW||Fraud Analyst:|https://t.co/N4KmcKiQ8y||Quality Analyst:|https://t.co/oc9LtpUJwL||#techjobs #jobsja #fraudanalytics #quality,"['hiring', 'techjobs', 'jobsja', 'fraudanalytics', 'quality']","",2498211983,shan ✨,Mel__Shan,false,http://pbs.twimg.com/profile_images/1455573415574843401/Y0ENWj_h_normal.jpg,https://pbs.twimg.com/profile_banners/2498211983/1601861486,http://abs.twimg.com/images/themes/theme18/bg.gif,455,410,0,1,0,0,2021-10-19T21:14:36.000-07:00
1451165547245232128,1455699310499311619,2021-11-03T00:52:15.000-07:00,https://twitter.com/DixieHeightsHS/status/1451165547245232128/photo/1,['http://pbs.twimg.com/media/FCOTYB1WYAMXsQr.jpg'],['photo'],"",ATTN DX COLONELS:  Cold Stone Creamery in Crestview Hills is a fantastic community partner with Dixie Heights &amp; they're HIRING!  See below for info! https://t.co/YWy7NxwpmI,"","",1025009293458845696,Dixie Heights High School,DixieHeightsHS,false,http://pbs.twimg.com/profile_images/1025009877066940417/BwRt76df_normal.jpg,"","",1508,218,2,0,0,1,2021-10-21T12:36:42.000-07:00
1452224552298237960,1455688649937465347,2021-11-03T00:09:54.000-07:00,https://twitter.com/UKSFO/status/1452224552298237960/photo/1,['http://pbs.twimg.com/media/FCdWPMkXsAUZW6A.jpg'],['photo'],['https://bit.ly/3C5ssqV'],We are looking for a 2nd Line Support Engineer who can resolve incidents involving queries related to Microsoft products such as Windows 10 and Office 2016.||Apply by 10 November 2021  https://t.co/7PutcJr2u8|#hiring https://t.co/Im572qZp8y,['hiring'],"",897764340308291584,Serious Fraud Office (SFO),UKSFO,true,http://pbs.twimg.com/profile_images/1423312465144827910/_xTK7aFr_normal.jpg,https://pbs.twimg.com/profile_banners/897764340308291584/1504876228,http://abs.twimg.com/images/themes/theme1/bg.png,5412,221,1,0,0,4,2021-10-24T10:44:48.000-07:00
1452882639380226049,1455677306320695297,2021-11-02T23:24:49.000-07:00,"","","",['https://www.biicl.org/documents/10991_bingham_centre_director_of_research_jd_and_advert_october_2021_final.pdf'],"Could you be our next Director of Research? We are hiring a senior lawyer or social scientist to lead our strategy, 'Democratising the Rule of Law'. We hope that the post-holder will help to take our organisation to the next level:| https://t.co/uT0xMv8byO","","",1435356133,Bingham Centre for the Rule of Law,BinghamCentre,false,http://pbs.twimg.com/profile_images/3671671693/12fb9b780ea5561b0f8a349056f9ac2b_normal.jpeg,https://pbs.twimg.com/profile_banners/1435356133/1542799148,http://abs.twimg.com/images/themes/theme1/bg.png,7773,1026,8,2,0,21,2021-10-26T06:19:49.000-07:00
1453311785533120516,1455679727885238272,2021-11-02T23:34:27.000-07:00,https://twitter.com/DBServicesPT/status/1453311785533120516/photo/1,['http://pbs.twimg.com/media/FCszXgOXMAQlXw3.jpg'],['photo'],['https://bit.ly/3gBKTKp'],NOW HIRING!|Data Engineer Tech Leader|🚀https://t.co/I0XnfEyf8G||#hiring #nowhiring #DataEngineer #techleader #scalablesoftware #datadriven #bigadata #datastorages #scala #java #phyton #digital #business #services #dbservices #dbservicesportugal https://t.co/5g7qd4ZWqT,"['hiring', 'nowhiring', 'DataEngineer', 'techleader', 'scalablesoftware', 'datadriven', 'bigadata', 'datastorages', 'scala', 'java', 'phyton', 'digital', 'business', 'services', 'dbservices', 'dbservicesportugal']","",1299048348494761984,DBServices Portugal,DBServicesPT,false,http://pbs.twimg.com/profile_images/1310574551424806914/yeCqXMr6_normal.jpg,https://pbs.twimg.com/profile_banners/1299048348494761984/1601300364,"",153,596,3,0,0,3,2021-10-27T10:45:05.000-07:00
1453342215300911104,1455683320277258243,2021-11-02T23:48:43.000-07:00,"","","","",Mexican cartels are hiring Americans to drive illegal immigrants from the border.||These are the only new jobs created in the Biden Administration.,"","",1029094268542099457,Lance Gooden,Lancegooden,true,http://pbs.twimg.com/profile_images/1414673598522937351/k1ctaRRP_normal.jpg,https://pbs.twimg.com/profile_banners/1029094268542099457/1607108266,"",116041,316,2635,28,74,732,2021-10-27T12:46:00.000-07:00
1453727868828086281,1455680960666681345,2021-11-02T23:39:20.000-07:00,https://twitter.com/LWSefton/status/1453727868828086281,['http://pbs.twimg.com/tweet_video_thumb/FCytE30UYAsVS-D.jpg'],['animated_gif'],['https://seftoncvs.org.uk/about/jobs/'],Join our #LivingWellSefton team as a Community Connector! ||For more information and to apply visit: https://t.co/kb2Y4osQtF||#SeftonJobs #CharityJobs @SCVSConnectors https://t.co/O9woyYPwp0,"['LivingWellSefton', 'SeftonJobs', 'CharityJobs']",['SCVSConnectors'],785509711915483136,Living Well Sefton,LWSefton,false,http://pbs.twimg.com/profile_images/1080414614893088769/C-4mo0yS_normal.jpg,https://pbs.twimg.com/profile_banners/785509711915483136/1616157154,http://abs.twimg.com/images/themes/theme1/bg.png,2405,1431,7,2,0,7,2021-10-28T14:18:27.000-07:00
